title,release_year,budget_tier,franchise,franchise_size,distributor_tier,sequel,director_brand,family_appeal,is_action,is_scifi,is_superhero,is_comedy,is_animation,is_drama,is_horror,box_office_worldwide
Star Wars: The Last Jedi,2017,2,1,3,2,1,0,0,1,1,0,0,0,0,0,1737090885
Star Wars: The Rise of Skywalker,2019,2,1,3,2,1,0,0,1,1,0,0,0,0,0,1347365794
Dune,2021,2,1,2,2,0,1,0,1,1,0,0,0,1,0,510354050
Dune: Part Two,2024,2,1,2,2,1,1,0,1,1,0,0,0,1,0,786781801
The Hunger Games,2012,1,1,2,2,0,0,0,1,1,0,0,0,0,0,950602744
Catching Fire,2013,1,1,2,2,1,0,0,1,1,0,0,0,0,0,1195151408
Mockingjay Part 1,2014,1,1,2,2,1,0,0,1,1,0,0,0,0,0,1042484022
Mockingjay Part 2,2015,1,1,2,2,1,0,0,1,1,0,0,0,0,0,877639635
The Ballad of Songbirds and Snakes,2023,1,1,5,2,0,0,0,1,1,0,0,0,1,0,367545808
Joker,2019,1,1,2,2,0,0,0,0,0,1,0,0,1,0,1358446799
Joker: Folie à Deux,2024,1,1,2,2,1,0,0,0,0,1,0,0,1,0,212960177
Shazam!,2019,1,1,2,2,0,0,0,1,0,1,0,0,0,0,460859718
Shazam! Fury of the Gods,2023,1,1,2,2,1,0,0,1,0,1,0,0,0,0,141816513
Blue Beetle,2023,1,1,1,2,0,0,0,1,0,1,0,0,0,0,138244926
